Date,Added,Removed
01/21/21,TRMB,CXO
01/07/21,ENPH,TIF
12/21/20,TSLA,AIV
10/12/20,,NBL
10/09/20,VNT,
10/07/20,POOL,ETFC
09/21/20,ETSY,HRB
09/21/20,TER,COTY
09/21/20,CTLT,KSS
06/22/20,BIO,ADS
06/22/20,TDY,HOG
06/22/20,TYL,JWN
05/22/20,WST,HP
05/12/20,DPZ,CPRI
05/12/20,DXCM,AGN
04/06/20,,M
04/06/20,,RTN
04/03/20,OTIS,
04/03/20,CARR,
03/03/20,GDI,XEC
01/28/20,PAYC,WCG
12/23/19,LYV,AMG
12/23/19,ZBRA,TRIP
12/23/19,STE,MAC
12/09/19,ODFL,STI
12/05/19,WRB,VIAB
11/21/19,NOW,CELG
10/03/19,LVS,NKTR
09/26/19,NVR,JEF
09/23/19,CDW,TSS
08/09/19,LDOS,APC
08/09/19,IEX,FL
07/15/19,TMUS,RHT
07/01/19,MKTX,LLL
06/07/19,BMS,MAT
06/03/19,DD,DWDP
06/03/19,CTVA,FLR
04/02/19,DOW,BHF
02/27/19,WAB,GT
02/15/19,ATO,NFX
01/18/19,TFX,PCG
01/02/19,FRC,SCG
12/24/18,CE,ESRX
12/03/18,LW,COL
12/03/18,MXIM,AET
12/03/18,FANG,SRCL
11/13/18,JKHY,EQT
11/06/18,KEYS,CA
10/11/18,FTNT,EVHC
10/01/18,ROL,ANDV
09/14/18,WCG,XL
08/28/18,ANET,GGP
07/02/18,CPRT,DPS
06/20/18,FLT,TWX
06/18/18,BR,RRC
06/18/18,HFC,AYI
06/07/18,TWTR,MON
06/05/18,EVRG,NAVI
05/31/18,ABMD,WYN
04/04/18,MSCI,CSRA
03/19/18,TTWO,SIG
03/19/18,SIVB,PDCO
03/19/18,NKTR,CHK
03/07/18,IPGP,SNI
01/03/18,HII,BCR
10/13/17,NCLH,LVLT
09/18/17,CDNS,SPLS
09/01/17,DWDP,DOW
09/01/17,SBAC,DD
08/29/17,Q,WFM
08/08/17,BHF,AN
07/26/17,DRE,RIG
07/26/17,AOS,BBBY
07/26/17,PKG,MUR
07/26/17,RMD,MNK
07/26/17,MGM,RAI
06/19/17,HLT,YHOO
06/19/17,ALGN,TDC
06/19/17,ANSS,R
06/19/17,RE,MJN
06/02/17,INFO,TGNA
04/05/17,IT,DNB
04/04/17,DXC,SWN
03/20/17,AMD,URBN
03/20/17,RJF,FTR
03/20/17,ARE,FSLR
03/16/17,SNPS,HAR
03/13/17,DISH,LLTC
03/02/17,REG,ENDP
03/01/17,CBOE,PBI
02/28/17,INCY,SE
01/05/17,IDXX,STJ
12/02/16,MAA,OI
12/02/16,EVHC,LM
11/01/16,ARNC,AA
09/30/16,COTY,DO
09/22/16,COO,HOT
09/08/16,CHTR,EMC
09/06/16,MTD,JCI
07/05/16,FTV,CPGX
07/01/16,LNT,GAS
07/01/16,ALB,TE
06/22/16,FBHS,CVC
06/03/16,TDG,BXLT
05/31/16,AJG,CCE
05/23/16,LKQ,ARG
05/18/16,DLR,TWC
05/13/16,ALK,SNDK
05/03/16,AYI,ADT
04/25/16,GPN,GME
04/18/16,ULTA,THC
04/08/16,UA,
04/04/16,FL,CAM
03/30/16,HOLX,POM
03/30/16,CNC,ESV
03/07/16,UDR,GMCR
03/04/16,AWK,CNX
02/22/16,CXO,PCL
02/01/16,CFG,PCP
02/01/16,FRT,BRCM
01/19/16,EXR,CB
01/05/16,WLTW,FOSL
12/29/15,CHD,ALTR
12/15/15,,CMCSK
12/01/15,CSRA,CSC
11/19/15,ILMN,SIAL
11/18/15,SYF,GNW
11/02/15,HPE,HCBK
10/07/15,VRSK,JOY
09/18/15,CMCSK,
09/18/15,FOX,
09/18/15,NWS,
09/02/15,UAL,HSP
08/28/15,ATVI,PLL
07/29/15,SIG,DTV
07/20/15,PYPL,NE
07/08/15,AAP,FDO
07/06/15,KHC,KRFT
07/02/15,CPGX,ATI
07/01/15,JBHT,TEG
07/01/15,BXLT,QEP
06/11/15,QRVO,LO
